id;placed_date;status;code
1;2020-12-23T07:11:54;COMPLETED;Georgia calculate withdrawal
2;2020-12-22T18:08:24;COMPLETED;compress Steel out-of-the-box
3;2020-12-22T19:39:36;PENDING;Concrete
4;2020-12-23T09:05:31;CANCELLED;Investment Account
5;2020-12-22T20:22:21;PENDING;United States of America
6;2020-12-23T10:34:25;CANCELLED;IB Industrial Credit Card Account
7;2020-12-23T13:40:50;CANCELLED;Cotton Egyptian Pound
8;2020-12-22T22:36:54;COMPLETED;Home Loan Account
9;2020-12-23T07:31:10;COMPLETED;Human
10;2020-12-22T17:39:48;CANCELLED;payment
